season,home_away_attendance,home_away_games,home_away_average,home_away_change,finals_attendance,finals_games,finals_average,finals_change,overall_attendance,overall_games,overall_average,overall_change,covid_affected,included_in_main_analysis
2014,6402010,198,32333,0.5,569843.0,9.0,63316.0,2.1,6971853,207,33680,0.7,False,True
2015,6354634,197,32257,-0.2,519053.0,9.0,57673.0,-8.9,6873687,206,33367,-0.9,False,True
2016,6306355,198,31850,-1.3,558342.0,9.0,62038.0,7.6,6864697,207,33163,-0.6,False,True
2017,6733960,198,34010,6.8,553818.0,9.0,61535.0,-0.8,7287778,207,35207,6.2,False,True
2018,6893909,198,34818,2.4,700393.0,9.0,77821.0,26.5,7594302,207,36687,4.2,False,True
2019,6954187,198,35122,0.9,563460.0,9.0,62607.0,-19.6,7517647,207,36317,-1.0,False,True
2020,826458,124,6665,-81.0,206579.0,9.0,22953.0,-63.3,1033037,133,7767,-78.6,True,False
2021,3809275,161,23660,255.0,272746.0,9.0,30305.0,32.0,4082021,170,24012,209.1,True,False
2022,6112431,198,30871,30.5,639980.0,9.0,71109.0,134.6,6752411,207,32620,35.9,False,True
2023,7474684,207,36110,17.0,664780.0,9.0,73864.0,3.9,8139464,216,37683,15.5,False,True
2024,7753251,207,37455,3.7,533520.0,9.0,59280.0,-19.7,8286771,216,38365,1.8,False,True
2025,7656090,207,36986,-1.3,600937.0,9.0,66771.0,12.6,8257027,216,38227,-0.4,False,True
2026,3471068,90,38567,4.3,,,,,3471068,90,38567,0.9,False,False
